item_code,item_description,MOQ,brand
FA20-BI,,0,Bussmann
FA32-BI,,0,Bussmann
FB32-BI,,0,Bussmann
FD32-BI,,0,Bussmann
HA32-BI,,0,Bussmann
HD32-BI,,0,Bussmann
KA63-BI,,0,Bussmann
KD63-BI,,0,Bussmann
LA125-BI,,0,Bussmann
LD125-BI,,0,Bussmann
32NNSF-BI,,0,Bussmann
63ENSF-BT,,0,Bussmann
SB00-PB-BT,,0,Bussmann
IPB00-BT,,0,Bussmann
TC00-BT,,0,Bussmann
TS00-BT,,0,Bussmann
SD1-S-BT,,0,Bussmann
SD2-S-BT,,0,Bussmann
SD3-S-BT,,0,Bussmann
SD4-S-BT,,0,Bussmann
SSD2-BI,,0,Bussmann
SSD4-BI,,0,Bussmann
SSD6-BI,,0,Bussmann
SSD10-BI,,0,Bussmann
SSD16-BI,,0,Bussmann
SSD20-BI,,0,Bussmann
SSD25-BI,,0,Bussmann
SSD32-BI,,0,Bussmann
NSD2-BI,,0,Bussmann
NSD4-BI,,0,Bussmann
NSD6-BI,,0,Bussmann
NSD10-BI,,0,Bussmann
NSD16-BI,,0,Bussmann
NSD20-BI,,0,Bussmann
NSD25-BI,,0,Bussmann
NSD32-BI,,0,Bussmann
ESD2-BI,,0,Bussmann
ESD4-BI,,0,Bussmann
ESD6-BI,,0,Bussmann
ESD10-BI,,0,Bussmann
ESD16-BI,,0,Bussmann
ESD20-BI,,0,Bussmann
ESD25-BI,,0,Bussmann
ESD32-BI,,0,Bussmann
ESD40-BI,,0,Bussmann
ESD50-BI,,0,Bussmann
ESD63-BI,,0,Bussmann
2HO7-660-BI,,0,Bussmann
4HO7-660-BI,,0,Bussmann
6HO7-660-BI,,0,Bussmann
10HO7-660-BI,,0,Bussmann
16HO7-660-BI,,0,Bussmann
20HO7-660-BI,,0,Bussmann
25HO7-660-BI,,0,Bussmann
32HO7-660-BI,,0,Bussmann
35KO7-660-BI,,0,Bussmann
40KO7-660-BI,,0,Bussmann
50KO7-660-BI,,0,Bussmann
63KO7-660-BI,,0,Bussmann
80L14-660-BI,,0,Bussmann
100L14-660-BI,,0,Bussmann
125M14-660-BI,,0,Bussmann
160M14-660-BI,,0,Bussmann
200M14-660-BI,,0,Bussmann
80LO9-660-BI,,0,Bussmann
100LO9-660-BI,,0,Bussmann
125MO9-660-BI,,0,Bussmann
160MO9-660-BI,,0,Bussmann
200MO9-660-BI,,0,Bussmann
250NO9-660-BI,,0,Bussmann
315NO9-660-BI,,0,Bussmann
355P11-660-BI,,0,Bussmann
400P11-660-BI,,0,Bussmann
450R11-660-BI,,0,Bussmann
500R11-660-BI,,0,Bussmann
560R11-660-BI,,0,Bussmann
630R11-660-BI,,0,Bussmann
NITD2-BI,,0,Bussmann
NITD4-BI,,0,Bussmann
NITD6-BI,,0,Bussmann
NITD10-BI,,0,Bussmann
NITD16-BI,,0,Bussmann
NITD20-BI,,0,Bussmann
NITD25-BI,,0,Bussmann
NITD32-BI,,0,Bussmann
AAO2-BI,,0,Bussmann
AAO4-BI,,0,Bussmann
AAO6-BI,,0,Bussmann
AAO10-BI,,0,Bussmann
AAO16-BI,,0,Bussmann
AAO20-BI,,0,Bussmann
AAO25-BI,,0,Bussmann
AAO32-BI,,0,Bussmann
BAO35-BI,,0,Bussmann
BAO40-BI,,0,Bussmann
BAO50-BI,,0,Bussmann
BAO63-BI,,0,Bussmann
OSD80-BI,,0,Bussmann
OSD100-BI,,0,Bussmann
EITD2-BI,,0,Bussmann
EITD4-BI,,0,Bussmann
EITD6-BI,,0,Bussmann
EITD10-BI,,0,Bussmann
EITD16-BI,,0,Bussmann
EITD20-BI,,0,Bussmann
EITD25-BI,,0,Bussmann
EITD32-BI,,0,Bussmann
EITD40-BI,,0,Bussmann
EITD50-BI,,0,Bussmann
EITD63-BI,,0,Bussmann
CEO32-BI,,0,Bussmann
CEO40-BI,,0,Bussmann
CEO50-BI,,0,Bussmann
CEO63-BI,,0,Bussmann
CEO80-BI,,0,Bussmann
CEO100-BI,,0,Bussmann
DEO125-BI,,0,Bussmann
DEO160-BI,,0,Bussmann
DEO200-BI,,0,Bussmann
CD80-BI,,0,Bussmann
CD100-BI,,0,Bussmann
BD40,,0,Bussmann
BD50,,0,Bussmann
