item_code,item_description,MOQ,brand
6E13M01AH000000 - ENCLOSURE BOX,6E13M01AH000000 - ENCLOSURE BOX,0,eaton
"6E13M021O000000-ELECTRICAL CONSUMABLE MATERIALS,","6E13M021O000000-ELECTRICAL CONSUMABLE MATERIALS,",0,eaton
ETN 010343 DILEM-01-G CONT 24V DC,ETN 010343 DILEM-01-G CONT 24V DC,0,eaton
ETN 021417 DILEM-10 24V AC MINI CONTACTOR,ETN 021417 DILEM-10 24V AC MINI CONTACTOR,0,eaton
ETN 030851 AK-PKZ0 LOCKING FOR MPCB,ETN 030851 AK-PKZ0 LOCKING FOR MPCB,0,eaton
ETN 041097,ETN 041097,0,eaton
ETN 051608 DILEEM 10,ETN 051608 DILEEM 10,0,eaton
ETN 051650 DILEEM-01-G,ETN 051650 DILEEM-01-G,0,eaton
ETN 051776 DILER-22 MINI CONTROL 220/240V 50/60 HZ,ETN 051776 DILER-22 MINI CONTROL 220/240V 50/60 HZ,0,eaton
"ETN 051785 DILEM-10 220V 50HZ, 240V 60HZ","ETN 051785 DILEM-10 220V 50HZ, 240V 60HZ",0,eaton
ETN 051794 DILEM-01,ETN 051794 DILEM-01,0,eaton
ETN 058771 DILEEM01,ETN 058771 DILEEM01,0,eaton
ETN 082884 NHI-E-10-PKZO,ETN 082884 NHI-E-10-PKZO,0,eaton
ETN 101371 DILM32-XHI11-S,ETN 101371 DILM32-XHI11-S,0,eaton
ETN 10213 DILEM-10-G (24VDC),ETN 10213 DILEM-10-G (24VDC),0,eaton
ETN 10250T2 CONTACT BLOCK 2 NO,ETN 10250T2 CONTACT BLOCK 2 NO,0,eaton
ETN 10250T451 30.5 4 POS JOY STICK,ETN 10250T451 30.5 4 POS JOY STICK,0,eaton
ETN 113094 PLSM-D50 SP MCB,ETN 113094 PLSM-D50 SP MCB,0,eaton
ETN 152386  XTCD032D11E2 110V AC,ETN 152386  XTCD032D11E2 110V AC,0,eaton
ETN 152431 XTCDXFAG11 AUX,ETN 152431 XTCDXFAG11 AUX,0,eaton
ETN 152435 XTCDXFAG22 AUX CONT,ETN 152435 XTCDXFAG22 AUX CONT,0,eaton
ETN 152487  XTOD006CC1 D LINE O/L/RELAY,ETN 152487  XTOD006CC1 D LINE O/L/RELAY,0,eaton
ETN 167897 FRCDM-40/4/03-GB,ETN 167897 FRCDM-40/4/03-GB,0,eaton
ETN 171425 SL7-100-L-RYG-24V LED TOWER LAMP,ETN 171425 SL7-100-L-RYG-24V LED TOWER LAMP,0,eaton
ETN 172834 P1-25/XM LOAD BREAK SWITCH,ETN 172834 P1-25/XM LOAD BREAK SWITCH,0,eaton
ETN  200066 OFF LINE 4G,ETN  200066 OFF LINE 4G,0,eaton
ETN 204989 STN 0.8 (480/120) CONTROL TRANSFORMER,ETN 204989 STN 0.8 (480/120) CONTROL TRANSFORMER,0,eaton
ETN 207149 T0-2-15679/I1/SVB ON/OFF SWT,ETN 207149 T0-2-15679/I1/SVB ON/OFF SWT,0,eaton
ETN 207343 P3-63/14/SVB,ETN 207343 P3-63/14/SVB,0,eaton
ETN 216392 M22S-ST-X,ETN 216392 M22S-ST-X,0,eaton
ETN 216395 M22-T-D KEY PROTECTION,ETN 216395 M22-T-D KEY PROTECTION,0,eaton
ETN 216480 M22-XST,ETN 216480 M22-XST,0,eaton
ETN 216504 M22-AK10 NO CONTACT,ETN 216504 M22-AK10 NO CONTACT,0,eaton
ETN 216602 M22-D-X PB (RED),ETN 216602 M22-D-X PB (RED),0,eaton
ETN 218177 M22-XD-S-X11,ETN 218177 M22-XD-S-X11,0,eaton
ETN 218194 M22-XD-R-GB0 RED STOP,ETN 218194 M22-XD-R-GB0 RED STOP,0,eaton
ETN 221784 EMR4-F500-2 PSR,ETN 221784 EMR4-F500-2 PSR,0,eaton
ETN 232290 B3.0/5-PKZ0,ETN 232290 B3.0/5-PKZ0,0,eaton
ETN 235472 63A FP 300MA RCCB TYPE A,ETN 235472 63A FP 300MA RCCB TYPE A,0,eaton
ETN 239480 DILM95 CONTA. 230/240V,ETN 239480 DILM95 CONTA. 230/240V,0,eaton
ETN 242168 PLSMB2/1 SP2A B CURVE,ETN 242168 PLSMB2/1 SP2A B CURVE,0,eaton
ETN 242229 PLSM-D16-MW,ETN 242229 PLSM-D16-MW,0,eaton
ETN 242498 PLSM D20/3 TP20A MCB D CURVE,ETN 242498 PLSM D20/3 TP20A MCB D CURVE,0,eaton
ETN 248949 Z-DST PARTITION PLATE,ETN 248949 Z-DST PARTITION PLATE,0,eaton
ETN 260104 CI-PKZO-GRM,ETN 260104 CI-PKZO-GRM,0,eaton
ETN 260166 NZM1-XTVD,ETN 260166 NZM1-XTVD,0,eaton
ETN 261232 NZM1/2-XV4,ETN 261232 NZM1/2-XV4,0,eaton
ETN 262510 M22-CK01/CL NC CONTACT,ETN 262510 M22-CK01/CL NC CONTACT,0,eaton
ETN 263467 M22-PVTQ EME. PB,ETN 263467 M22-PVTQ EME. PB,0,eaton
ETN 272253 NZMB1-A40-NA MCCB,ETN 272253 NZMB1-A40-NA MCCB,0,eaton
ETN 276271 IS-40/2 DP 40A ISO,ETN 276271 IS-40/2 DP 40A ISO,0,eaton
ETN 276329 DILA40 (230/240) AUX CONTACTOR,ETN 276329 DILA40 (230/240) AUX CONTACTOR,0,eaton
ETN 276379 DILA31(24V DC),ETN 276379 DILA31(24V DC),0,eaton
ETN 276414 DILA22(24V DC) AUX CONTACTOR,ETN 276414 DILA22(24V DC) AUX CONTACTOR,0,eaton
ETN 276421 DILA-XHI11 BLOCK,ETN 276421 DILA-XHI11 BLOCK,0,eaton
ETN 276424 DILA-XHI04 AUX CONTACT,ETN 276424 DILA-XHI04 AUX CONTACT,0,eaton
ETN 276426 DILA-XHI22,ETN 276426 DILA-XHI22,0,eaton
ETN 276565 DILM7-10 (24V DC),ETN 276565 DILM7-10 (24V DC),0,eaton
ETN 276705 DILM9-10 24V DC,ETN 276705 DILM9-10 24V DC,0,eaton
ETN 276733 DILM 0901,ETN 276733 DILM 0901,0,eaton
ETN 276740 DILM9-01 24V DC,ETN 276740 DILM9-01 24V DC,0,eaton
ETN 276830 DILM12-10(230/240) CONTACTOR,ETN 276830 DILM12-10(230/240) CONTACTOR,0,eaton
ETN 276833 CONTACTOR DILM12-10 415V 50HZ,ETN 276833 CONTACTOR DILM12-10 415V 50HZ,0,eaton
ETN 276869 DILM12-01 CONT. 24V 50/60HZ,ETN 276869 DILM12-01 CONT. 24V 50/60HZ,0,eaton
ETN 277003 DILM 1710,ETN 277003 DILM 1710,0,eaton
ETN 277012  DILM 17-10(230V50/60HZ),ETN 277012  DILM 17-10(230V50/60HZ),0,eaton
ETN 277018 DILM17-10 CONT.24V DC,ETN 277018 DILM17-10 CONT.24V DC,0,eaton
ETN 277036 DILM17-01 CONT. 230-240V,ETN 277036 DILM17-01 CONT. 230-240V,0,eaton
"ETN 277172 DILM 25-01, CONTACTOR 230V 50/60HZ","ETN 277172 DILM 25-01, CONTACTOR 230V 50/60HZ",0,eaton
