item_code,item_description,MOQ,brand
SC 572 0308,SURFACE BOX LOCK SOCKET,0,socomec
SM GL10004POI,1000A LOAD BREAK SWITCH ,0,socomec
SM 41K24120A,1250A FP C/O SWITCH,0,socomec
SM 41K24011A,CD C/O SWITCH B2(41K24011A)CD,0,socomec
SM 26K24011A,125A CD FP LOAD BREAK SWITCH 26K24011A,0,socomec
SM 14001020A ,SHAFT 200MM,0,socomec
SM 14212111A,HOD S2,0,socomec
SM 41K24160A,1600A C/O SWITCH 41K24160A,0,socomec
SM 160A LOAD BREAK SWT.+ENCL  ,160A LOAD BREAK SWT.+ENCL  ,0,socomec
SM 41G24020A,200A C/O SWITCH B3( 41G24020A),0,socomec
SM 21111005G ,NEUTRAL POLE  FOR LBC,0,socomec
SM 21113105G,EXTERNAL HOD VER. COMO,0,socomec
SM 21131113G,EXT. HOD K1 TYPE FOR LBS,0,socomec
SM 21132200G,EXT. SHAFT FOR LBS,0,socomec
SM 41G24025A,250A C/O SWITCH B4( 41G24025A),0,socomec
SM 26003064G,LD SWITCH,0,socomec
SM 26003079G,,0,socomec
SM 26K23016A,LD SWITCH 160A TP,0,socomec
SM 26K23020A,LD SWITCH 200A TP,0,socomec
SM 26K23025A, 250ASIRCO LD SWITCH TP,0,socomec
SM 26K24012A,LD SWITCH 125A FP,0,socomec
SM 26K24016A,160A SIRCO LD SWITCH FP,0,socomec
SM 26K24040A,400A SIRCO LD SWITCH FP,0,socomec
SM 26K24063A,630A LD SWITCH FP,0,socomec
SM 26K24080A,LBS SIRCO 800A FP,0,socomec
SM 26K24030A,315A CD FP LOAD BREAK SWITCH 26K24030A,0,socomec
SM 41G24031A,315A C/O SWITCH B4 FP (41G24031A),0,socomec
SM 36253010,FUSE BLOC A4 3x100A L DR,0,socomec
SM 39990022G,AUX CONTACT 32-400A,0,socomec
SM 41G24040A,400A C/O SWITCH B4( 41G24040A),0,socomec
SM 48250092G,RS 485,0,socomec
SM 48250093G,DIRIS,0,socomec
SM 48250500G,DIRIS A40 +RS 485,0,socomec
SM 48250501G,DIRIS A40,0,socomec
SM 48290583,RJ12 CABLE 3x1M,0,socomec
SM 48290599G,ADAPTER,0,socomec
SM 41G24063A,630A C/O SWITCH B5( 41G24063A),0,socomec
SM GC06304POI,630A C/O SWITCH GC06304POI,0,socomec
SM 41K24006A,63A C/O SWITCH 41K24006A,0,socomec
SM 41G24079A,800A C/O SWITCH FP CD 41G24079A,0,socomec
SM 95254012SL,ATYS C4 125A FP,0,socomec
SM 95254020SL,ATYS C4 4X200A,0,socomec
SM 95254025SL,ATYS C4 250A FP,0,socomec
SM 95254120SL,ATYS C4 1250A FP,0,socomec
SM 16000015,ATS CONTROLLER ATYS A15 (16000015),0,socomec
SM 16000025,ATS CONTROLLER ATYS C25 (16000025),0,socomec
SM 15993020G,ATS CONTROLLER C20 (15993020G),0,socomec
SM 93234006G,ATYS D M4X63A 93234006G,0,socomec
SM FP95234100SL,ATyS R 1000A FP95234100SL,0,socomec
SM 95234160SL,ATyS R 1600A FP 95234160SL,0,socomec
SM 5234040SL,ATySr 400A  95234040SL,0,socomec
SM 95234016SL,ATyS R4 160A 95234016SL,0,socomec
SM  95234020SL,ATySr 4 200A 95234020SL,0,socomec
SM 95234025SL,ATYS R4 250A  95234025SL,0,socomec
SM 95234050SL,ATyS R4 500A  95234050SL,0,socomec
SM 95234063SL,ATyS R4 630A  95234063SL,0,socomec
SM 95234080SL,ATyS R4 800A   95234080SL,0,socomec
SM 26990031A,AUX CONTACT 1ST 1NO/NC 26990031A,0,socomec
SM 41090021A,AUX CONTACT 41090021A,0,socomec
SM 36297901G,DIRECT HOD UPTO 400A F/BLOCK  36297901G,0,socomec
SM  48250403G,DIRIS A30  48250403G,0,socomec
SM 14433113A,EXTENDED HOD FOR C/O  KIT (14433113A),0,socomec
SM 14001032G,FUSEBLOC SHAFT 14001032G,0,socomec
SM 14232111G,HOD EXT. FRONT PH -2 14232111G,0,socomec
SM 48250205G,PROFIBUS A40 DP 48250205G,0,socomec
SM 95034010SL,RTSE ATYS S4x100A (95034010SL,0,socomec
SM 95034012SL,RTSE ATYS S4x125A (95034012SL,0,socomec
SM 34AA3140HC,SAFETY ENCL SWIT 3x400A (34AA3140HC),0,socomec
SM 34AA3112HC,SAFETY ENCL SWITCH 3x125A (34AA3112HC),0,socomec
SM 34AA3120HC,SAFETY ENCL SWITCH 3x200A (34AA3120HC),0,socomec
SM 32AS3105,SAFETY ENCL SWITCH 3x50A (32AS3105),0,socomec
SM 34AA3105HC,SAFETY ENCL SWITCH 3x50A (34AA3105HC),0,socomec
SM 34AA3205HC,SAFETY ENCL SWITCH 3x50A (34AA3205HC),0,socomec
SM 34AA3163HC,SAFETY ENCL SWITCH 3x630A (34AA3163HC),0,socomec
SM 32AS3108,SAFETY ENCL SWITCH 3x80A (32AS3108),0,socomec
SM 34AA3108-HC,SAFETY ENCL SWITCH 3x80A (34AA3108-HC),0,socomec
SM 38313038G,SFU 400A TP PH 1 GTG  38313038G,0,socomec
SM 38413038G,SFU 400A TP PH 2 GTG  38413038G,0,socomec
SM 14001032A,SHAFT 320MM 14001032A,0,socomec
SM 14011532A,SHAFT FOR  320 SIRCOVER 14011532A,0,socomec
