item_code,item_description,MOQ,brand
AB 10KVAR CLMD 13  1HYC414001-100,AB 10KVAR CLMD 13  1HYC414001-100,,abb
AB 10 KVR CYL HD F5 415V,AB 10 KVR CYL HD F5 415V,,abb
AB 12.5 KVAR CLY HD F5 CAPACITOR,AB 12.5 KVAR CLY HD F5 CAPACITOR,,abb
AB 15 KVAR F5 CYL HD V440 CAPACITOR,AB 15 KVAR F5 CYL HD V440 CAPACITOR,,abb
AB 15 KVAR F5 CYL ND V440 CAPACITOR,AB 15 KVAR F5 CYL ND V440 CAPACITOR,,abb
AB 15KVR 440V CLMD 13,AB 15KVR 440V CLMD 13,,abb
AB 1 KVAR CYL ND  F5 440V,AB 1 KVAR CYL ND  F5 440V,,abb
AB 1SAM201906R1103 BUSBAR  FOR MPCB,AB 1SAM201906R1103 BUSBAR  FOR MPCB,,abb
AB 1SAM201916R1113 BUSBAR,AB 1SAM201916R1113 BUSBAR,,abb
AB 1SAM201916R1114 BUSBAR,AB 1SAM201916R1114 BUSBAR,,abb
AB 1SAM201916R1115 BUSBAR,AB 1SAM201916R1115 BUSBAR,,abb
AB 1SDA0107525R1 SPR WITH PH.BARIER,AB 1SDA0107525R1 SPR WITH PH.BARIER,,abb
AB 1SDA038339R1 SUPPORT PLATE FOR YOYCYU,AB 1SDA038339R1 SUPPORT PLATE FOR YOYCYU,,abb
AB 20 KVAR F5 CYL HD V440 CAPACITOR,AB 20 KVAR F5 CYL HD V440 CAPACITOR,,abb
AB 20 KVAR F5 CYL ND V440 CAPACITOR,AB 20 KVAR F5 CYL ND V440 CAPACITOR,,abb
AB 25 KVAR F5 CYL HD V440 CAPACITOR,AB 25 KVAR F5 CYL HD V440 CAPACITOR,,abb
AB 25 KVAR F5 CYL ND V440 CAPACITOR,AB 25 KVAR F5 CYL ND V440 CAPACITOR,,abb
AB 30 KVR 440V CLMD 43,AB 30 KVR 440V CLMD 43,,abb
AB 32A OFFNF1GG32,AB 32A OFFNF1GG32,,abb
AB 50KVR 415V CLMD 53,AB 50KVR 415V CLMD 53,,abb
AB 5 KVAR F5 CYL HD V440 CAPACITOR,AB 5 KVAR F5 CYL HD V440 CAPACITOR,,abb
AB 7% 1HYC418000-1271 3 PH CU REACTOR 50KVR,AB 7% 1HYC418000-1271 3 PH CU REACTOR 50KVR,,abb
AB A09-30-01,AB A09-30-01,,abb
AB A09-30-10,AB A09-30-10,,abb
