item_code,item_description,MOQ,brand
SC 136.5123-429,UNI BOX SOCK,0,Scame
SC 213.2033,20A 2P+E IP44 STRAIGHT PLUG,0,Scame
SC 213.2037,PLUG 20A 3P+N+E,0,Scame
SC 213.3233,32A 2P+E STRAIGHT PLUG,0,Scame
SC 213.3237 ,32A 3P+N+E PLUG,0,Scame
SC 214.1633 ,PLUG 16A 2P+E,0,Scame
SC 218.12537,PLUG 125A 5PIN,0,Scame
SC 218.2033 ,20A 2P+E STRAIGHT PLUG,0,Scame
SC 218.2036 ,20A 3P+E PLUG IP 66,0,Scame
SC 218.2037 ,20A 5PIN PLUG IP67,0,Scame
SC 218.3233 ,32A 2P+E IP66 STRAIGHT PLUG,0,Scame
SC 218.3237 ,32A 3P+N+E ISTRAIGHT PLUG,0,Scame
SC 218.6337 ,63A 3P+N+E IP66 ST PLUG,0,Scame
SC 313.3243 ,32A 2P+E CONNEC,0,Scame
SC 318.2046 ,20A 3P+E SOCKET IP66,0,Scame
SC 318.3243 ,32A 2P+E CONNECTOR,0,Scame
SC 318.3247 ,32A 3P+N+E CONNECTOR,0,Scame
SC 318.6343,63A 2P+E CONNECTOR IP 66/67,0,Scame
SC 400.3283,32A 2P+E IP44 INTERLOCK SKT,0,Scame
SC 405.2083 ,20A 2P+E IP66 INTERLOCK SOCK PANEL,0,Scame
SC 405.3283 ,32A 2P+E IP66 INTERLOCK SKT PANEL,0,Scame
SC 405.3287 ,32A 3P+N+E SWT. SKT +INTERLOCK,0,Scame
SC 405.6387 ,63A 5PIN FL. MTG. INTERLCK,0,Scame
SC 413.2063 ,20A 2P+E IP44 FLUSH SOCKET,0,Scame
SC 4132067 ,SOCKET 20A 3P+N+E,0,Scame
SC 413.3263 ,32A 2P+E FLUSH SOCKET,0,Scame
SC 418.12567 ,SOCKET 125A 5PIN,0,Scame
SC 418.2063 ,20A 2P+E FLUSH SOCKET,0,Scame
SC 418.2067  ,20A 5PIN FL. SOCKET,0,Scame
SC 418.3263 ,32A 2P+E IP66 FLUSH SOCK,0,Scame
SC 418 3267 ,32A 3P+N+E IP66 FLUSH SOCK,0,Scame
SC 418.6367  ,63A SOCKE 3P+N+E IP66,0,Scame
SC 500.3283 ,"32A 2P+E SURF, MTG",0,Scame
SC 505.2083 ,SUF MTG BOX 20A,0,Scame
SC 505 3287 ,32A 3P+N+E S.M BOX,0,Scame
SC 505.6387,63A 5PIN SUF MTG. INTERLOCK,0,Scame
SC 518.12557T ,SOCKET,0,Scame
SC 518.3257 T 32A 3P+N+E SOCK,,0,Scame
SC 548.12587,,0,Scame
SC 568.3287 ,SWI SOCK  INT 32A 5PIN,0,Scame
SC 570.0016 ,BOX FOR 20A SKT,0,Scame
SC 570.0032 ,BOX FOR 32A SKT,0,Scame
SC 572.0200 ,FLUSH MTG BOX,0,Scame
SC 572.0220 ,FLAME  COMPLETE + GASKET,0,Scame
SC 572 0310 ,SURFACE BOX  LOCK SOCKET,0,Scame
SC 590.GE10005 ,ROT.ISOLATOR,0,Scame
SC 590. GR2002 ,ROTARY ISO 20A DP,0,Scame
SC 632.1500-000 ,SURF. MTG ENCL FP,0,Scame
SC 633.1013 ,MOD. ENCL 16/32A,0,Scame
SC 672.2002 ,2POLE ENCLOSURE IP66,0,Scame
SC 672.2004,4 POLE ENCLOSURE IP66,0,Scame
SC 672.2008 ,8 POLE ENCLOSURE IP66,0,Scame
SC 672.2301 ,SUR.MTG ENCL.1P66,0,Scame
SC 672.3300 ,SURF ENCL,0,Scame
SC 672.3302 ,12MOD S.MTG ENCL,0,Scame
SC 672.4116 ,ENCL,0,Scame
SC 686.204  ,BOX,0,Scame
